model,split,history,matching,scorer,threshold,n_users,hit_rate@1,ndcg@1,recall@1,hit_rate@5,ndcg@5,recall@5,hit_rate@10,ndcg@10,recall@10,MAE_vs_paper
llama-3.1-8b-instruct,file_order,20,paper,ratio,85.0,6040,0.1247,0.1247,0.0069,0.3604,0.1066,0.0249,0.4629,0.0916,0.036,
llama-3.1-8b-instruct,file_order,20,article,ratio,85.0,6040,0.1488,0.1488,0.008,0.4381,0.1326,0.0312,0.5694,0.118,0.048,
llama-3.1-8b-instruct,file_order,20,dedup,ratio,85.0,6040,0.1247,0.1247,0.0069,0.3604,0.1066,0.0249,0.4629,0.0912,0.0359,
llama-3.1-8b-instruct,file_order,20,in_catalog,ratio,85.0,6040,0.1901,0.1901,0.0099,0.4548,0.1531,0.0329,0.5293,0.1285,0.0473,
llama-3.1-8b-instruct,file_order,20,fair,ratio,85.0,6040,0.1555,0.1555,0.0083,0.4606,0.1413,0.0329,0.5977,0.1275,0.0516,
llama-3.1-8b-instruct,file_order,all,paper,ratio,85.0,6040,0.078,0.078,0.0067,0.2177,0.0612,0.0208,0.3558,0.0592,0.0305,0.0056
llama-3.1-8b-instruct,file_order,all,article,ratio,85.0,6040,0.0879,0.0879,0.0074,0.2647,0.0746,0.0255,0.4283,0.0738,0.04,0.0329
llama-3.1-8b-instruct,file_order,all,dedup,ratio,85.0,6040,0.078,0.078,0.0067,0.2177,0.0605,0.0205,0.3558,0.0579,0.0296,0.0053
llama-3.1-8b-instruct,file_order,all,in_catalog,ratio,85.0,6040,0.1308,0.1308,0.0094,0.3914,0.1194,0.0297,0.4598,0.1006,0.0414,0.0874
llama-3.1-8b-instruct,file_order,all,fair,ratio,85.0,6040,0.1123,0.1123,0.0086,0.3368,0.0943,0.0283,0.506,0.0915,0.0443,0.0752
llama-3.1-8b-instruct,random,20,paper,ratio,85.0,6040,0.0783,0.0783,0.005,0.2657,0.0681,0.0176,0.3752,0.0612,0.0268,
llama-3.1-8b-instruct,random,20,article,ratio,85.0,6040,0.1245,0.1245,0.0071,0.3821,0.1026,0.0253,0.524,0.0937,0.0404,
llama-3.1-8b-instruct,random,20,dedup,ratio,85.0,6040,0.0783,0.0783,0.005,0.2657,0.0678,0.0174,0.3752,0.0605,0.0262,
llama-3.1-8b-instruct,random,20,in_catalog,ratio,85.0,6040,0.1205,0.1205,0.0069,0.3563,0.0993,0.0234,0.4609,0.0877,0.036,
llama-3.1-8b-instruct,random,20,fair,ratio,85.0,6040,0.131,0.131,0.0075,0.4048,0.1108,0.0272,0.5586,0.1026,0.044,
llama-3.1-8b-instruct,random,all,paper,ratio,85.0,6040,0.0616,0.0616,0.0052,0.1621,0.0433,0.0148,0.2556,0.0411,0.0221,
llama-3.1-8b-instruct,random,all,article,ratio,85.0,6040,0.0762,0.0762,0.0066,0.2565,0.0656,0.0216,0.3922,0.0639,0.0341,
llama-3.1-8b-instruct,random,all,dedup,ratio,85.0,6040,0.0616,0.0616,0.0052,0.1621,0.0426,0.0145,0.2556,0.0396,0.0211,
llama-3.1-8b-instruct,random,all,in_catalog,ratio,85.0,6040,0.0911,0.0911,0.0067,0.2613,0.0718,0.0203,0.3515,0.0648,0.0301,
llama-3.1-8b-instruct,random,all,fair,ratio,85.0,6040,0.1041,0.1041,0.0077,0.3081,0.0842,0.0241,0.4543,0.0791,0.0376,
